,item,preço
0,Batata,"R$ 3,99 kg"
1,Batata Doce Rosada,"R$ 4,99 kg"
2,"Batata Palito Sadia 1,05Kg","R$ 15,90"
3,Batata Palito Mais Batata Bem Brasil 2Kg,"R$ 26,90"
4,Batata Palha Yoki 105G,"R$ 6,49"
5,Batata Palha Yoki Extra Fina 100G,"R$ 6,49"
6,Batata Pringles Original 114G,"R$ 12,90"
7,Batata Asterix Vermelha,"R$ 5,49 kg"
8,Batata Palha Elma Chips Na Mesa 110G,"R$ 5,39"
9,Batata Congelada Mccain Tradicional Pacote 720G,"R$ 19,49"
10,Batata Palha Biscoitone Embalagem 150G,"R$ 6,99"
11,Batata Pirulito,"R$ 4,99 kg"
