,RECEITAS CORRENTES (I),"Impostos, Taxas e Contribuições de Melhoria",IPTU,ISS,ITBI,IRRF,"Outros Impostos, Taxas e Contribuições de Melhoria",Contribuições,Receita Patrimonial,Rendimentos de Aplicação Financeira,Outras Receitas Patrimoniais,Receita de Serviços,Transferências Correntes,Cota-Parte do FPM,Cota-Parte do ICMS,Cota-Parte do IPVA,Cota-Parte do ITR,Transferências da LC nº 61/1989,Transferências do FUNDEB,Outras Transferências Correntes,base = ultimo periodo
Jan,171102393.43,30.100270805349368,2.4234018334327025,17.9702559757577,3.3725016076087675,5.414542031261154,0.9195693572890452,1.4792930396425064,1.7329844484400652,1.4503259556075012,0.2826584928325637,21.55048961782967,121.05102977764439,6.281020145235927,36.95158231265743,41.79686185346088,0.11074425206971855,0.28857256243103363,19.88098293339376,15.741265718395614,95.63972668605984
Fev,153284969.73,37.10468639756848,6.516949487699355,15.367786480378417,8.156705193463312,4.635465749102274,2.4277794869251212,1.4988655784734022,0.5756327053733702,0.3274812939312715,0.24815141144209862,20.654144815484962,98.16896445652748,9.053160871774521,37.7976657838417,17.93397629785573,0.03424029201092829,0.24171959509943552,16.782810450280525,16.32539116566464,95.87882600277499
Mar,214561006.51,91.86194143820121,55.663159861304116,15.435091498103132,2.477670103330363,4.80133065901214,13.484689316451464,1.520345532124726,0.6174867563000831,0.3831161959281301,0.23437056037195297,20.688088298137945,106.8619539690632,5.2899307542634295,43.5369629249956,14.125972014215018,0.028973231861434492,0.26196031526327135,17.433502391153144,26.184652337311302,95.94594118097692
Abr,127149483.97,34.15384546228183,9.161793396784166,15.539232050944873,1.8316827231831727,4.861868282240834,2.7592690091287793,1.5328124912307035,0.3804908771767278,0.17642311645188896,0.20406776072483884,20.868701099557022,74.7552077753075,5.20142761693332,29.501114836849627,1.7695756179412105,0.019640264383510027,0.23966832621223277,10.77850115312409,27.245279959863513,95.64850876331589
Mai,127123125.52,33.94225046906955,9.15228691151548,14.125705959958735,2.663694544283052,4.9786145227483924,3.021948530563893,1.5393251782311883,0.3926078769630689,0.1873684911078876,0.20523938585518126,22.693205307661657,72.89827608887525,5.455043497217127,29.109383425194405,2.121568701670464,0.025705209192602843,0.20170238797669954,10.816467307804922,25.168405559819025,95.2850444300153
Jun,147211194.75,32.94323130042078,9.757104869047563,12.320155748405579,2.6865035237319077,4.913292481943608,3.2661746772921236,1.5361538466818156,0.5408636595797017,0.28485987134782514,0.2560037882318766,21.215512699920037,95.17125669560356,4.429182124060692,35.421764116645896,3.638204905417945,0.007201925454922198,0.21007644533126815,13.043478025730622,38.421349152962236,95.53278554553334
Jul,146472149.04,41.06777591682249,9.757743394701015,17.213126906630475,3.8912809274257274,4.8286551450437285,5.3769695430215485,1.5348686648075187,0.48617137701514457,0.22717787729636582,0.2589934997187788,20.24594545547739,86.97586721478709,7.836826215286122,31.28736663021027,3.0845070176332996,0.008582710599443943,0.22972591024800695,11.602212785165994,32.92664594564394,95.87670357349727
Ago,165990451.59,39.1375742312201,9.617344946571885,18.010936718305846,3.7911566294151786,4.943443326829872,2.774692610097318,1.5490718360292666,1.6451055221387074,1.402845940675281,0.24225958146342655,19.946486670751185,107.58340205571353,4.821257081280129,37.427398396664096,3.4386637433844967,0.0433919625617291,0.24837762881411427,13.615269831882863,47.98904341112611,96.10680766207365
Set,160290756.69,39.481514240404906,9.554474196455244,17.148380360313904,5.217438343861505,4.816134290498298,2.745087049275954,1.5172196297253326,0.32778328252748595,0.06961546051566658,0.2581678220118194,20.5687626107965,101.72892162012563,3.85886827944848,43.458416026587884,4.454319436026723,0.3755283993900749,0.333036901884306,15.744760411696397,33.50399216509179,96.72189123111092
Out,147067025.14,39.15259988852002,9.170348296626583,16.0826516381286,6.59038607785806,4.748998535113761,2.560215340793025,1.5609732874017204,0.714919940100019,0.4574833269338789,0.2574366131661401,21.679591301335073,85.92938641316856,5.1482045129630905,41.70746544757543,3.4644260007269363,1.487967547621303,0.36351068368825573,15.216787376325543,18.541024844268,97.55369949569847
Nov,139334380.19,37.146190089873436,9.281803028408598,16.20760857662531,4.213351890837224,5.198156238197649,2.24527035580465,1.5077682879030871,0.38644628282094995,0.09242875280289999,0.2940175300180499,22.46008575446387,78.30899635825513,6.763361228958699,38.17947294324381,3.0691374769287747,0.18660714620431249,0.34884922394438744,14.35894195560576,15.402626383369398,98.42192742121019
Dez,182380399.0,43.37371269204999,10.293577679775,17.077938465225,5.68327429385,8.247855107225,2.071067145975,2.8976302105,0.398804835775,0.1157297629,0.283075072875,22.427056281149998,108.98731513579999,9.950364045425,54.059690425575,4.687966198775,0.14063934155,0.433734742775,19.89162486955,19.82329551215,99.75062344139651
